1	Then Job answered the LORD, and said:
Psalm 48:2	Fair in situation, the joy of the whole earth; Even mount Zion, the uttermost parts of the north, The city of the great King.
Psalm 48:3	God in her palaces Hath made Himself known for a stronghold.
Psalm 48:4	For, lo, the kings assembled themselves, They came onward together.
Psalm 48:5	They saw, straightway they were amazed; They were affrighted, they hasted away.
Psalm 48:6	Trembling took hold of them there, Pangs, as of a woman in travail.
Psalm 48:7	With the east wind Thou breakest the ships of Tarshish.
Psalm 48:8	As we have heard, so have we seen In the city of the LORD of hosts, in the city of our God—God establish it for ever. Selah
Psalm 48:9	We have thought on Thy lovingkindness, O God, In the midst of Thy temple.
Psalm 48:10	As is Thy name, O God, So is Thy praise unto the ends of the earth; Thy right hand is full of righteousness.
Psalm 48:11	Let mount Zion be glad, Let the daughters of Judah rejoice, Because of Thy judgments.
Psalm 48:12	Walk about Zion, and go round about her; Count the towers thereof.
Psalm 48:13	Mark ye well her ramparts, Traverse her palaces; That ye may tell it to the generation following.
Psalm 48:14	For such is God, our God, for ever and ever; He will guide us eternally.
Psalm 49:1	For the Leader; a Psalm of the sons of Korah. Hear this, all ye peoples; Give ear, all ye inhabitants of the world,
Psalm 49:2	Both low and high, Rich and poor together.
Psalm 49:3	My mouth shall speak wisdom, And the meditation of my heart shall be understanding.
Psalm 49:4	I will incline mine ear to a parable; I will open my dark saying upon the harp.
Psalm 49:5	Wherefore should I fear in the days of evil, When the iniquity of my supplanters compasseth me about,
Psalm 49:6	Of them that trust in their wealth, And boast themselves in the multitude of their riches?
Psalm 49:7	No man can by any means redeem his brother, Nor give to God a ransom for him—
Psalm 49:8	For too costly is the redemption of their soul, And must be let alone for ever—
Psalm 49:9	That he should still live alway, That he should not see the pit.
Psalm 49:10	For he seeth that wise men die, The fool and the brutish together perish, And leave their wealth to others.
Psalm 49:11	Their inward thought is, that their houses shall continue for ever, And their dwelling-places to all generations; They call their lands after their own names.
Psalm 49:12	But man abideth not in honour; He is like the beasts that perish.
Psalm 49:13	This is the way of them that are foolish, And of those who after them approve their sayings. Selah
Psalm 49:14	Like sheep they are appointed for the nether-world; Death shall be their shepherd; And the upright shall have dominion over them in the morning; And their form shall be for the nether-world to wear away, That there be no habitation for it.
Psalm 49:15	But God will redeem my soul from the power of the nether-world; For He shall receive me. Selah
Psalm 49:16	Be not thou afraid when one waxeth rich, When the wealth of his house is increased;
Psalm 49:17	For when he dieth he shall carry nothing away; His wealth shall not descend after him.
Psalm 49:18	Though while he lived he blessed his soul: ‘Men will praise thee, when thou shalt do well to thyself’;
Psalm 49:19	It shall go to the generation of his fathers; They shall never see the light.
Psalm 49:20	Man that is in honour understandeth not; He is like the beasts that perish.
Psalm 50:1	A Psalm of Asaph. God, God, the LORD, hath spoken, and called the earth From the rising of the sun unto the going down thereof.
Psalm 50:2	Out of Zion, the perfection of beauty, God hath shined forth.
Psalm 50:3	Our God cometh, and doth not keep silence; A fire devoureth before Him, And round about Him it stormeth mightily.
Psalm 50:4	He calleth to the heavens above, And to the earth, that He may judge His people:
Psalm 50:5	Gather My saints together unto Me; Those that have made a covenant with Me by sacrifice.’
Psalm 50:6	And the heavens declare His righteousness; For God, He is judge. Selah
Psalm 50:7	Hear, O My people, and I will speak; O Israel, and I will testify against thee: God, thy God, am I.
Psalm 50:8	I will not reprove thee for thy sacrifices; And thy burnt-offerings are continually before Me.
Psalm 50:9	I will take no bullock out of thy house, Nor he-goats out of thy folds.
Psalm 50:10	For every beast of the forest is Mine, And the cattle upon a thousand hills.
Psalm 50:11	I know all the fowls of the mountains; And the wild beasts of the field are Mine.
Psalm 50:12	If I were hungry, I would not tell thee; For the world is Mine, and the fulness thereof.
Psalm 50:13	Do I eat the flesh of bulls, Or drink the blood of goats?
Psalm 50:14	Offer unto God the sacrifice of thanksgiving; And pay thy vows unto the Most High;
Psalm 50:15	And call upon Me in the day of trouble; I will deliver thee, and thou shalt honour Me.’
Psalm 50:16	But unto the wicked God saith: ‘What hast thou to do to declare My statutes, And that thou hast taken My covenant in thy mouth?
Psalm 50:17	Seeing thou hatest instruction, And castest My words behind thee.
Psalm 50:18	When thou sawest a thief, thou hadst company with him, And with adulterers was thy portion.
Psalm 50:19	Thou hast let loose thy mouth for evil, And thy tongue frameth deceit.
Psalm 50:20	Thou sittest and speakest against thy brother; Thou slanderest thine own mother’s son.
Psalm 50:21	These things hast thou done, and should I have kept silence? Thou hadst thought that I was altogether such a one as thyself; But I will reprove thee, and set the cause before thine eyes.
Psalm 50:22	Now consider this, ye that forget God, Lest I tear in pieces, and there be none to deliver.
Psalm 50:23	Whoso offereth the sacrifice of thanksgiving honoureth Me; And to him that ordereth his way aright Will I show the salvation of God.’
Psalm 51:1	For the Leader. A Psalm of David; when Nathan the prophet came unto him, after he had gone in to Bath-sheba. Be gracious unto me, O God, according to Thy mercy; According to the multitude of Thy compassions blot out my transgressions.
Psalm 51:2	Wash me thoroughly from mine iniquity, And cleanse me from my sin.
Psalm 51:3	For I know my transgressions; And my sin is ever before me.
Psalm 51:4	Against Thee, Thee only, have I sinned, And done that which is evil in Thy sight; That Thou mayest be justified when Thou speakest, And be in the right when Thou judgest.
Psalm 51:5	Behold, I was brought forth in iniquity, And in sin did my mother conceive me.
Psalm 51:6	Behold, Thou desirest truth in the inward parts; Make me, therefore, to know wisdom in mine inmost heart.
Psalm 51:7	Purge me with hyssop, and I shall be clean; Wash me, and I shall be whiter than snow.
Psalm 51:8	Make me to hear joy and gladness; That the bones which Thou hast crushed may rejoice.
Psalm 51:9	Hide Thy face from my sins, And blot out all mine iniquities.
Psalm 51:10	Create me a clean heart, O God; And renew a stedfast spirit within me.
Psalm 51:11	Cast me not away from Thy presence; And take not Thy holy spirit from me.
Psalm 51:12	Restore unto me the joy of Thy salvation; And let a willing spirit uphold me.
Psalm 51:13	Then will I teach transgressors Thy ways; And sinners shall return unto Thee.
Psalm 51:14	Deliver me from bloodguiltiness, O God, Thou God of my salvation; So shall my tongue sing aloud of Thy righteousness.
Psalm 51:15	O Lord, open Thou my lips; And my mouth shall declare Thy praise.
Psalm 51:16	For Thou delightest not in sacrifice, else would I give it; Thou hast no pleasure in burnt-offering.
Psalm 51:17	The sacrifices of God are a broken spirit; A broken and a contrite heart, O God, Thou wilt not despise.
Psalm 51:18	Do good in Thy favour unto Zion; Build Thou the walls of Jerusalem.
Psalm 51:19	Then wilt Thou delight in the sacrifices of righteousness, in burnt-offering and whole offering; Then will they offer bullocks upon Thine altar.
Psalm 52:1	For the Leader. Maschil of David; when Doeg the Edomite came and told Saul, and said unto him: ‘David is come to the house of Ahimelech.’ Why boastest thou thyself of evil, O mighty man? The mercy of God endureth continually.
Psalm 52:2	Thy tongue deviseth destruction; Like a sharp razor, working deceitfully.
Psalm 52:3	Thou lovest evil more than good; Falsehood rather than speaking righteousness. Selah
Psalm 52:4	Thou lovest all devouring words, The deceitful tongue.
Psalm 52:5	God will likewise break thee for ever, He will take thee up, and pluck thee out of thy tent, And root thee out of the land of the living. Selah
Psalm 52:6	The righteous also shall see, and fear, And shall laugh at him:
Psalm 52:7	Lo, this is the man that made not God his stronghold; But trusted in the abundance of his riches, And strengthened himself in his wickedness.’
Psalm 52:8	But as for me, I am like a leafy olive-tree in the house of God; I trust in the mercy of God for ever and ever.
Psalm 52:9	I will give Thee thanks for ever, because Thou hast done it; And I will wait for Thy name, for it is good, in the presence of Thy saints.
Psalm 53:1	For the Leader; upon Mahalath. Maschil of David. The fool hath said in his heart: ‘There is no God’; They have dealt corruptly, and have done abominable iniquity; There is none that doeth good.
Psalm 53:2	God looked forth from heaven upon the children of men, To see if there were any man of understanding, that did seek after God.
Psalm 53:3	Every one of them is unclean, they are together become impure; There is none that doeth good, no, not one.
Psalm 53:4	Shall not the workers of iniquity know it, Who eat up My people as they eat bread, And call not upon God?’
Psalm 53:5	There are they in great fear, where no fear was; For God hath scattered the bones of him that encampeth against thee; Thou hast put them to shame, because God hath rejected them.
Psalm 53:6	Oh that the salvation of Israel were come out of Zion! When God turneth the captivity of His people, Let Jacob rejoice, let Israel be glad.
Psalm 54:1	For the Leader; with string-music. Maschil of David: when the Ziphites came and said to Saul: ‘Doth not David hide himself with us?’ O God, save me by Thy name, And right me by Thy might.
Psalm 54:2	O God, hear my prayer; give ear to the words of my mouth.
Psalm 54:3	For strangers are risen up against me, And violent men have sought after my soul; They have not set God before them. Selah
Psalm 54:4	Behold, God is my helper; The Lord is for me as the upholder of my soul.
Psalm 54:5	He will requite the evil unto them that lie in wait for me; Destroy Thou them in Thy truth.
Psalm 54:6	With a freewill-offering will I sacrifice unto Thee; I will give thanks unto Thy name, O LORD, for it is good.
Psalm 54:7	For He hath delivered me out of all trouble; And mine eye hath gazed upon mine enemies.
Psalm 55:1	For the Leader; with string-music. Maschil of David. Give ear, O God, to my prayer; And hide not Thyself from my supplication.
