1	And Job answereth Jehovah and saith:—
Psalm 22:22	I declare Thy name to my brethren, In the midst of the assembly I praise Thee.
Psalm 22:23	Ye who fear Jehovah, praise ye Him, All the seed of Jacob, honour ye Him, And be afraid of Him, all ye seed of Israel.
Psalm 22:24	For He hath not despised, nor abominated, The affliction of the afflicted, Nor hath He hidden His face from him, And in his crying unto Him He heareth.
Psalm 22:25	Of Thee my praise is in the great assembly. My vows I complete before His fearers.
Psalm 22:26	The humble do eat and are satisfied, Praise Jehovah do those seeking Him, Your heart doth live for ever.
Psalm 22:27	Remember and return unto Jehovah, Do all ends of the earth, And before Thee bow themselves, Do all families of the nations,
Psalm 22:28	For to Jehovah is the kingdom, And He is ruling among nations.
Psalm 22:29	And the fat ones of earth have eaten, And they bow themselves, Before Him bow do all going down to dust, And he who hath not revived his soul.
Psalm 22:30	A seed doth serve Him, It is declared of the Lord to the generation.
Psalm 22:31	They come and declare His righteousness, To a people that is borne, that He hath made!
Psalm 23:1	A Psalm of David. Jehovah is my shepherd, I do not lack,
Psalm 23:2	In pastures of tender grass He causeth me to lie down, By quiet waters He doth lead me.
Psalm 23:3	My soul He refresheth, He leadeth me in paths of righteousness, For His name’s sake,
Psalm 23:4	Also—when I walk in a valley of death-shade, I fear no evil, for Thou art with me, Thy rod and Thy staff—they comfort me.
Psalm 23:5	Thou arrangest before me a table, Over-against my adversaries, Thou hast anointed with oil my head, My cup is full!
Psalm 23:6	Only—goodness and kindness pursue me, All the days of my life, And my dwelling is in the house of Jehovah, For a length of days!
Psalm 24:1	A Psalm of David. To Jehovah is the earth and its fulness, The world and the inhabitants in it.
Psalm 24:2	For He on the seas hath founded it, And on the floods He doth establish it.
Psalm 24:3	Who goeth up into the hill of Jehovah? And who riseth up in His holy place?
Psalm 24:4	The clean of hands, and pure of heart, Who hath not lifted up to vanity his soul, Nor hath sworn to deceit.
Psalm 24:5	He beareth away a blessing from Jehovah, Righteousness from the God of his salvation.
Psalm 24:6	This is a generation of those seeking Him. Seeking Thy face, O Jacob! Selah.
Psalm 24:7	Lift up, O gates, your heads, And be lifted up, O doors age-during, And come in doth the king of glory!
Psalm 24:8	Who is this—‘the king of glory?’ Jehovah—strong and mighty, Jehovah, the mighty in battle.
Psalm 24:9	Lift up, O gates, your heads, And be lifted up, O doors age-during, And come in doth the king of glory!
Psalm 24:10	Who is He—this ‘king of glory?’ Jehovah of hosts—He is the king of glory! Selah.
Psalm 25:1	By David. Unto Thee, O Jehovah, my soul I lift up.
Psalm 25:2	My God, in Thee I have trusted, Let me not be ashamed, Let not mine enemies exult over me.
Psalm 25:3	Also let none waiting on Thee be ashamed, Let the treacherous dealers without cause be ashamed.
Psalm 25:4	Thy ways, O Jehovah, cause me to know, Thy paths teach Thou me.
Psalm 25:5	Cause me to tread in Thy truth, and teach me, For Thou art the God of my salvation, Near Thee I have waited all the day.
Psalm 25:6	Remember Thy mercies, O Jehovah, And Thy kindnesses, for from the age are they.
Psalm 25:7	Sins of my youth, and my transgressions, Do not Thou remember. According to Thy kindness be mindful of me, For Thy goodness’ sake, O Jehovah.
Psalm 25:8	Good and upright is Jehovah, Therefore He directeth sinners in the way.
Psalm 25:9	He causeth the humble to tread in judgment, And teacheth the humble His way.
Psalm 25:10	All the paths of Jehovah are kindness and truth, To those keeping His covenant, And His testimonies.
Psalm 25:11	For Thy name’s sake, O Jehovah, Thou hast pardoned mine iniquity, for it is great.
Psalm 25:12	Who is this—the man fearing Jehovah? He directeth him in the way He doth choose.
Psalm 25:13	His soul in good doth remain, And his seed doth possess the land.
Psalm 25:14	The secret of Jehovah is for those fearing Him, And His covenant—to cause them to know.
Psalm 25:15	Mine eyes are continually unto Jehovah, For He bringeth out from a net my feet.
Psalm 25:16	Turn Thou unto me, and favour me, For lonely and afflicted am I.
Psalm 25:17	The distresses of my heart have enlarged themselves, From my distresses bring me out.
Psalm 25:18	See mine affliction and my misery, And bear with all my sins.
Psalm 25:19	See my enemies, for they have been many, And with violent hatred they have hated me.
Psalm 25:20	Keep my soul, and deliver me, Let me not be ashamed, for I trusted in Thee.
Psalm 25:21	Integrity and uprightness do keep me, For I have waited on Thee.
Psalm 25:22	Redeem Israel, O God, from all his distresses!
Psalm 26:1	By David. Judge me, O Jehovah, for I in mine integrity have walked, And in Jehovah I have trusted, I slide not.
Psalm 26:2	Try me, O Jehovah, and prove me, Purified are my reins and my heart.
Psalm 26:3	For Thy kindness is before mine eyes, And I have walked habitually in Thy truth.
Psalm 26:4	I have not sat with vain men, And with dissemblers I enter not.
Psalm 26:5	I have hated the assembly of evil doers, And with the wicked I sit not.
Psalm 26:6	I wash in innocency my hands, And I compass Thine altar, O Jehovah.
Psalm 26:7	To sound with a voice of confession, And to recount all Thy wonders.
Psalm 26:8	Jehovah, I have loved the habitation of Thy house, And the place of the tabernacle of Thine honour.
Psalm 26:9	Do not gather with sinners my soul, And with men of blood my life,
Psalm 26:10	In whose hand is a wicked device, And their right hand is full of bribes.
Psalm 26:11	And I, in mine integrity I walk, Redeem me, and favour me.
Psalm 26:12	My foot hath stood in uprightness, In assemblies I bless Jehovah!
Psalm 27:1	By David. Jehovah is my light and my salvation, Whom do I fear? Jehovah is the strength of my life, Of whom am I afraid?
Psalm 27:2	When evil doers come near to me to eat my flesh, My adversaries and mine enemies to me, They have stumbled and fallen.
Psalm 27:3	Though a host doth encamp against me, My heart doth not fear, Though war riseth up against me, In this I am confident.
Psalm 27:4	One thing I asked of Jehovah—it I seek. My dwelling in the house of Jehovah, All the days of my life, To look on the pleasantness of Jehovah, And to inquire in His temple.
Psalm 27:5	For He hideth me in a tabernacle in the day of evil, He hideth me in a secret place of His tent, On a rock he raiseth me up.
Psalm 27:6	And now, lifted up is my head, Above my enemies—my surrounders, And I sacrifice in His tent sacrifices of shouting, I sing, yea, I sing praise to Jehovah.
Psalm 27:7	Hear, O Jehovah, my voice—I call, And favour me, and answer me.
Psalm 27:8	To Thee said my heart ‘They sought my face, Thy face, O Jehovah, I seek.’
Psalm 27:9	Hide not Thy face from me, Turn not aside in anger Thy servant, My help Thou hast been. Leave me not, nor forsake me, O God of my salvation.
Psalm 27:10	When my father and my mother Have forsaken me, then doth Jehovah gather me.
Psalm 27:11	Shew me, O Jehovah, Thy way, And lead me in a path of uprightness, For the sake of my beholders.
Psalm 27:12	Give me not to the will of my adversaries, For risen against me have false witnesses, And they breathe out violence to me.
Psalm 27:13	I had not believed to look on the goodness of Jehovah In the land of the living!
Psalm 27:14	Look unto Jehovah—be strong, And He doth strengthen thy heart, Yea, look unto Jehovah!
Psalm 28:1	By David. Unto Thee, O Jehovah, I call, My rock, be not silent to me! Lest Thou be silent to me, And I have been compared With those going down to the pit.
Psalm 28:2	Hear the voice of my supplications, In my crying unto Thee, In my lifting up my hands toward thy holy oracle.
Psalm 28:3	Draw me not with the wicked, And with workers of iniquity, Speaking peace with their neighbours, And evil in their heart.
Psalm 28:4	Give to them according to their acting, And according to the evil of their doings. According to the work of their hands give to them. Return their deed to them.
Psalm 28:5	For they attend not to the doing of Jehovah, And unto the work of His hands. He throweth them down, And doth not build them up.
Psalm 28:6	Blessed is Jehovah, For He hath heard the voice of my supplications.
Psalm 28:7	Jehovah is my strength, and my shield, In Him my heart trusted, and I have been helped. And my heart exulteth, And with my song I thank Him.
Psalm 28:8	Jehovah is strength to him, Yea, the strength of the salvation of His anointed is He.
Psalm 28:9	Save Thy people, and bless Thine inheritance, And feed them, and carry them to the age!
Psalm 29:1	A Psalm of David. Ascribe to Jehovah, ye sons of the mighty, Ascribe to Jehovah honour and strength.
Psalm 29:2	Ascribe to Jehovah the honour of His name, Bow yourselves to Jehovah, In the beauty of holiness.
Psalm 29:3	The voice of Jehovah is on the waters, The God of glory hath thundered, Jehovah is on many waters.
Psalm 29:4	The voice of Jehovah is with power, The voice of Jehovah is with majesty,
Psalm 29:5	The voice of Jehovah is shivering cedars, Yea, Jehovah shivers the cedars of Lebanon.
Psalm 29:6	And He causeth them to skip as a calf, Lebanon and Sirion as a son of Reems,
Psalm 29:7	The voice of Jehovah is hewing fiery flames,
Psalm 29:8	The voice of Jehovah paineth a wilderness, Jehovah paineth the wilderness of Kadesh.
Psalm 29:9	The voice of Jehovah paineth the oaks, And maketh bare the forests, And in His temple every one saith, ‘Glory.’
Psalm 29:10	Jehovah on the deluge hath sat, And Jehovah sitteth king—to the age,
Psalm 29:11	Jehovah strength to his people giveth, Jehovah blesseth His people with peace!
Psalm 30:1	A Psalm.—A song of the dedication of the house of David. I exalt Thee, O Jehovah, For Thou hast drawn me up, and hast not let mine enemies rejoice over me.
Psalm 30:2	Jehovah my God, I have cried to Thee, And Thou dost heal me.
Psalm 30:3	Jehovah, Thou hast brought up from Sheol my soul, Thou hast kept me alive, From going down to the pit.
Psalm 30:4	Sing praise to Jehovah, ye His saints, And give thanks at the remembrance of His holiness,
Psalm 30:5	For—a moment is in His anger, Life is in His good-will, At even remaineth weeping, and at morn singing.
Psalm 30:6	And I—I have said in mine ease, ‘I am not moved—to the age.
Psalm 30:7	O Jehovah, in Thy good pleasure, Thou hast caused strength to remain for my mountain,’ Thou hast hidden Thy face—I have been troubled.
Psalm 30:8	Unto Thee, O Jehovah, I call, And unto Jehovah I make supplication.
Psalm 30:9	What gain is in my blood? In my going down unto corruption? Doth dust thank Thee? doth it declare Thy truth?
Psalm 30:10	Hear, O Jehovah, and favour me, O Jehovah, be a helper to me.’
Psalm 30:11	Thou hast turned my mourning to dancing for me, Thou hast loosed my sackcloth, And girdest me with joy.
Psalm 30:12	So that honour doth praise Thee, and is not silent, O Jehovah, my God, to the age I thank Thee!
Psalm 31:1	To the Overseer.—A Psalm of David. In Thee, O Jehovah, I have trusted, Let me not be ashamed to the age, In Thy righteousness deliver me.
Psalm 31:2	Incline unto me Thine ear hastily, deliver me, Be to me for a strong rock, For a house of bulwarks to save me.
Psalm 31:3	For my rock and my bulwark art Thou, For Thy name’s sake lead me and tend me.
Psalm 31:4	Bring me out from the net that they hid for me, For Thou art my strength.
Psalm 31:5	Into Thy hand I commit my spirit, Thou hast redeemed me, Jehovah God of truth.
Psalm 31:6	I have hated the observers of lying vanities, And I toward Jehovah have been confident.
